datasetID	subjects	triples
0	2	28
1	24	264
2	1	17
3	1	17
4	16	167
5	4	36
6	14	126
7	84	672
9	1	19
10	25	244
11	11	107
12	1	17
13	16	149
14	88	528
15	4	40
16	86	528
17	4	44
18	3	30
19	89	534
20	86	528
21	24	243
22	84	504
23	89	546
24	81	498
25	85	510
26	88	528
27	88	704
28	10	108
29	83	510
30	87	534
31	84	504
32	86	516
33	89	534
34	89	534
35	86	516
36	85	522
37	1	11
38	85	510
39	86	516
40	86	516
41	17	162
42	12	108
43	89	534
45	5	54
46	88	540
47	1	19
48	83	664
49	1	19
50	82	656
51	13	126
52	87	534
53	84	504
54	78	624
55	1	18
56	89	545
57	95	582
58	89	712
59	89	624
60	1	19
61	86	688
62	88	529
63	88	704
64	967	6780
65	162	1548
67	88	704
68	87	696
69	1	17
70	141	743
71	1	18
72	1	17
73	80	660
74	1	18
75	1	19
76	1	19
77	173	1551
78	84	589
79	167	1489
80	83	498
81	961	4817
82	166	996
83	84	504
84	87	632
85	89	729
86	163	978
87	2	73
88	86	516
89	165	990
90	2178	19090
91	86	516
92	1	18
93	1	19
94	102	576
95	79	474
96	176	1056
97	88	528
98	1	18
99	180	1080
100	171	1026
101	86	516
102	1	19
104	88	528
105	165	990
106	964	4832
107	90	540
108	971	4867
109	2	107
110	2	65
111	343	1719
112	1984	9916
113	3	12
114	1	18
115	1	19
116	972	4872
118	41	183
119	970	4862
120	972	4872
122	85	394
123	25479	28847
124	84	504
126	967	4847
128	3487	12477
129	478	3898
130	2	72
131	76	456
132	84	603
135	616	28756
136	878	12816
137	22726	133916
138	12753	101686
139	2	79
140	1	18
141	7	98
142	1	19
143	253	2071
144	15	88
145	1458	18776
146	1	19
147	3925	30670
148	2425	20357
149	121710	717951
150	10	50
151	968	4852
152	1	8
153	2	36
154	120	2713
155	528	1268
156	2463	3147
157	11203	30095
160	5020	106130
161	4087	29453
162	1679	1917
163	848	5233
164	1	22
165	595	23538
166	2007	8835
167	227	922
169	1	1
170	94	2158
172	2	19
173	14392	114519
174	20	205
175	4674	14022
176	528	1268
177	24	97
178	2	507
179	431779	3178085
180	146490	616015
181	8216	18108
182	20547	137083
183	3122	301340
184	4	4
185	235	1129
186	3	6
187	468	20123
188	256	1617
189	26	1020
190	26	859
191	7295	44291
192	5312	123549
193	96	416
194	477	2552
195	53	205
196	100	499
197	2954	14551
198	99	505
199	2327	8523
200	12	32
201	1062	5899
202	61	272
203	2	10
205	44796	315096
206	393	2620
207	31	62
208	1093	5444
209	1	1
210	23	162
211	4482	20482
212	1	36
213	19	346
214	48	182
215	19	413
216	43952	243395
217	494	10102
218	3596	7210
219	11	22
220	97578	468218
221	4	24
222	1166	5249
223	9081	52856
224	25	245
225	335	1057
226	59197	88548
227	13110	80827
228	2	39
229	29712	237194
230	6	12
231	2	12
232	6	14
233	10	41
234	110	1704
235	64	590
236	23	446
237	95859	1264941
238	61084	331319
239	2	19
241	268337	379295
242	161	1166
243	2	140
244	1	31
245	172	1098
246	1361	8477
247	5865	14612
248	14	131
249	7	27
250	9	79
251	65	864
252	3633	17338
253	68	238
254	12	170
255	4	39
256	3	23
257	1165	6384
258	25	169
259	4	22
260	1779	9451
262	779	2601
263	298912	1701709
264	21	152
265	4576	828738
266	430	860
267	50816	262539
268	13	162
269	328	1752
270	7	114
271	4	4
272	30	1107
273	327	26289
274	38	654
275	32117	364820
276	470	1098
277	4774	34920
278	40	237
279	6	22
280	532	33907
281	15	79
282	126094	643704
283	31	212
284	5023	120383
285	45335	637983
286	10	91
287	1	3
288	8	42
289	14786	83655
290	3	21
291	13	78
292	45	71
293	34	272
