datasetID	predicate	subjects	triples
0	http://www.w3.org/ns/dcat#theme	1	1
0	http://www.w3.org/2000/01/rdf-schema#label	2	2
0	http://www.w3.org/2000/01/rdf-schema#comment	2	2
0	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	2	2
0	http://rdfs.org/ns/void#triples	1	1
0	http://rdfs.org/ns/void#sparqlEndpoint	1	1
0	http://rdfs.org/ns/void#dataDump	1	1
0	http://purl.org/linked-data/sdmx/2009/measure#obsValue	1	1
0	http://purl.org/linked-data/sdmx/2009/dimension#freq	1	1
0	http://purl.org/linked-data/sdmx/2009/attribute#unitMeasure	1	1
0	http://purl.org/linked-data/cube#dataSet	1	1
0	http://purl.org/dc/terms/title	1	1
0	http://purl.org/dc/terms/subject	1	1
0	http://purl.org/dc/terms/spatial	1	1
0	http://purl.org/dc/terms/references	1	1
0	http://purl.org/dc/terms/publisher	1	1
0	http://purl.org/dc/terms/modified	1	1
0	http://purl.org/dc/terms/license	1	1
0	http://purl.org/dc/terms/issued	1	1
0	http://purl.org/dc/terms/description	1	1
0	http://publishmydata.com/def/dataset#graph	1	1
0	http://publishmydata.com/def/dataset#contactEmail	1	1
0	http://opendatacommunities.org/def/ontology/transparency/indicator	1	1
0	http://opendatacommunities.org/def/ontology/time/refPeriod	1	1
0	http://opendatacommunities.org/def/ontology/geography/refArea	1	1
1	http://www.w3.org/ns/dcat#theme	1	1
1	http://www.w3.org/2000/01/rdf-schema#label	24	24
1	http://www.w3.org/2000/01/rdf-schema#comment	2	2
1	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	24	24
1	http://rdfs.org/ns/void#triples	1	1
1	http://rdfs.org/ns/void#sparqlEndpoint	1	1
1	http://rdfs.org/ns/void#dataDump	1	1
1	http://purl.org/linked-data/sdmx/2009/measure#obsValue	23	23
1	http://purl.org/linked-data/sdmx/2009/dimension#freq	23	23
1	http://purl.org/linked-data/sdmx/2009/attribute#unitMeasure	23	23
1	http://purl.org/linked-data/cube#dataSet	23	23
1	http://purl.org/dc/terms/title	1	1
1	http://purl.org/dc/terms/subject	1	1
1	http://purl.org/dc/terms/spatial	1	1
1	http://purl.org/dc/terms/references	1	1
1	http://purl.org/dc/terms/publisher	1	1
1	http://purl.org/dc/terms/modified	1	1
1	http://purl.org/dc/terms/license	1	1
1	http://purl.org/dc/terms/issued	1	1
1	http://purl.org/dc/terms/description	1	1
1	http://publishmydata.com/def/dataset#graph	1	1
1	http://publishmydata.com/def/dataset#contactEmail	1	1
1	http://opendatacommunities.org/def/ontology/transparency/previousReport	15	15
1	http://opendatacommunities.org/def/ontology/transparency/indicator	23	23
1	http://opendatacommunities.org/def/ontology/transparency/authorityType	23	23
