datasetID	vocabulary	triples
0	http://purl.org/dc/terms/	9
0	http://purl.org/linked-data/cube#	1
0	http://purl.org/linked-data/sdmx/2009/attribute#	1
0	http://purl.org/linked-data/sdmx/2009/dimension#	1
0	http://purl.org/linked-data/sdmx/2009/measure#	1
0	http://rdfs.org/ns/void#	3
0	http://www.w3.org/1999/02/22-rdf-syntax-ns#	2
0	http://www.w3.org/2000/01/rdf-schema#	4
0	http://www.w3.org/ns/dcat#	1
0	opendatacommunities.org	4
0	publishmydata.com	3
1	http://purl.org/dc/terms/	9
1	http://purl.org/linked-data/cube#	23
1	http://purl.org/linked-data/sdmx/2009/attribute#	23
1	http://purl.org/linked-data/sdmx/2009/dimension#	23
1	http://purl.org/linked-data/sdmx/2009/measure#	23
1	http://rdfs.org/ns/void#	3
1	http://www.w3.org/1999/02/22-rdf-syntax-ns#	24
1	http://www.w3.org/2000/01/rdf-schema#	26
1	http://www.w3.org/ns/dcat#	1
1	opendatacommunities.org	130
1	publishmydata.com	3
2	http://purl.org/dc/terms/	7
2	http://rdfs.org/ns/void#	3
2	http://www.w3.org/1999/02/22-rdf-syntax-ns#	1
2	http://www.w3.org/2000/01/rdf-schema#	2
2	http://www.w3.org/ns/dcat#	2
2	publishmydata.com	3
3	http://purl.org/dc/terms/	8
3	http://rdfs.org/ns/void#	3
3	http://www.w3.org/1999/02/22-rdf-syntax-ns#	1
3	http://www.w3.org/2000/01/rdf-schema#	2
3	http://www.w3.org/ns/dcat#	1
3	publishmydata.com	3
4	http://purl.org/dc/terms/	9
4	http://purl.org/linked-data/cube#	15
4	http://purl.org/linked-data/sdmx/2009/attribute#	15
4	http://purl.org/linked-data/sdmx/2009/dimension#	15
4	http://purl.org/linked-data/sdmx/2009/measure#	15
4	http://rdfs.org/ns/void#	3
4	http://www.w3.org/1999/02/22-rdf-syntax-ns#	16
4	http://www.w3.org/2000/01/rdf-schema#	17
4	http://www.w3.org/ns/dcat#	1
4	opendatacommunities.org	74
4	publishmydata.com	3
5	http://purl.org/linked-data/cube#	4
5	http://purl.org/linked-data/sdmx/2009/attribute#	4
5	http://purl.org/linked-data/sdmx/2009/measure#	4
5	http://www.w3.org/1999/02/22-rdf-syntax-ns#	4
